Study,Prev Score,Sleep,Practice Tests,New Score
4,46,3,1,49
4,89,4,6,80
6,91,4,5,87
3,65,5,3,70
3,65,4,3,65
5,93,4,7,89
4,58,5,4,55
2,48,2,3,35
3,59,5,3,57
3,81,3,4,79
6,84,5,6,82
4,89,4,5,91
2,55,2,2,36
5,93,5,7,100
4,56,2,1,42
5,61,3,3,67
4,52,4,2,53
4,51,4,0,35
2,49,4,2,37
1,40,3,0,31
5,71,5,5,77
6,69,5,4,69
2,47,2,0,34
3,60,4,1,51
4,61,3,2,55
2,57,2,0,44
4,41,4,2,41
6,87,5,5,86
4,83,4,5,86
4,48,4,2,37
3,42,5,2,35
4,93,4,7,94
3,65,3,4,53
3,60,3,3,50
4,69,3,3,62
4,67,4,4,61
6,75,5,6,82
5,65,3,4,55
4,73,3,3,76
4,47,4,4,36
3,49,3,2,42
6,87,5,4,91
5,94,7,6,96
5,82,6,6,92
6,89,4,7,90
7,93,5,7,95
2,53,3,2,41
5,79,4,6,74
9,94,7,8,100
2,54,4,3,48
4,56,3,3,56
4,92,4,5,84
2,57,2,3,48
3,71,3,4,61
6,77,4,5,72
5,62,3,4,61
6,85,5,8,79
3,62,3,2,63
4,74,4,4,78
6,78,5,6,80
3,54,2,1,40
5,92,4,5,90
5,63,3,2,57
3,67,4,5,72
3,55,5,3,47
4,55,3,4,60
3,79,4,6,72
3,78,5,4,75
3,45,3,1,28
3,41,4,0,41
5,93,5,6,100
5,52,4,4,57
6,83,5,7,88
5,86,4,5,82
6,98,7,8,98
4,48,3,1,43
3,73,4,5,65
5,56,3,5,52
4,66,5,2,61
3,68,3,5,66
5,76,5,4,71
3,82,5,3,79
4,61,5,4,50
6,90,5,7,89
5,63,4,4,68
2,46,2,0,26
5,73,4,2,73
6,87,5,4,84
4,51,3,2,54
4,62,5,2,56
3,54,2,3,55
4,72,4,7,82
6,96,5,6,100
4,52,4,2,40
2,62,2,2,54
5,77,6,4,81
3,71,4,5,72
4,84,3,3,84
4,89,6,5,85
3,74,3,3,58
3,40,2,2,22
6,86,5,4,93
5,97,6,6,100
5,84,6,4,86
2,44,3,2,38
6,96,7,6,92
3,52,2,1,40
6,93,6,6,100
3,44,2,1,44
5,99,5,7,100
4,71,4,4,73
7,90,5,7,91
4,60,4,2,64
4,63,4,3,50
4,99,6,6,95
5,57,5,3,51
3,60,2,2,45
8,93,8,8,99
3,49,3,1,40
5,63,5,3,52
6,79,4,4,69
5,86,4,5,89
3,60,4,3,52
4,64,5,6,64
6,91,6,8,92
7,99,6,6,100
9,96,7,8,97
4,98,5,5,92
5,62,4,2,50
3,61,2,3,56
3,43,2,3,42
4,73,5,4,61
8,95,8,9,93
2,45,3,0,45
4,67,3,3,60
5,70,5,4,70
5,74,5,5,69
3,78,4,4,73
4,81,4,7,83
4,62,5,4,61
3,45,4,1,29
4,55,3,1,43
2,41,2,2,25
3,63,3,3,53
4,56,3,3,58
4,84,4,7,94
3,40,3,-1,39
2,45,2,2,27
2,44,3,1,32
6,96,6,8,91
6,84,5,7,85
7,99,7,7,100
5,94,4,6,92
6,89,5,6,100
5,68,5,3,71
4,51,2,4,38
4,78,4,7,71
6,86,4,4,85
4,42,4,2,28
4,87,4,4,94
3,40,1,0,22
5,66,4,6,64
4,87,5,6,95
3,63,4,3,55
5,83,6,4,88
4,58,5,2,58
6,98,5,7,91
3,47,3,2,35
6,94,6,6,95
3,83,5,5,90
5,86,6,6,98
1,41,1,1,20
5,69,5,6,76
6,69,6,6,72
7,88,5,6,83
5,78,6,5,88
4,84,4,5,88
5,71,4,5,69
4,40,3,1,40
4,77,6,6,72
5,52,4,4,47
4,50,2,1,51
3,49,2,0,31
4,87,5,7,94
6,98,5,6,100
5,65,5,6,62
5,95,6,6,90
6,94,5,5,96
5,59,5,3,60
3,56,4,3,48
2,56,3,2,51
3,43,3,2,41
4,44,2,1,46
6,99,6,6,100
5,62,4,3,64
5,85,4,7,88
6,91,6,6,88
2,49,2,2,45
5,85,4,5,76
4,67,3,4,61
5,72,4,3,78
3,82,3,5,75
3,65,2,1,50
5,94,7,8,93
6,89,4,6,99
6,87,5,7,93
4,68,4,6,61
5,66,3,3,68
4,57,4,2,46
5,79,3,3,80
5,99,7,6,100
3,49,4,4,48
6,97,5,6,97
6,81,6,6,89
2,44,2,-1,27
4,49,2,1,42
5,89,5,6,80
3,60,4,4,57
5,63,5,4,59
3,77,4,2,65
3,42,1,-1,39
4,79,6,7,78
4,70,4,5,68
3,80,3,5,66
3,76,5,3,82
1,41,1,0,34
4,41,3,2,33
3,78,3,3,71
5,88,6,6,90
3,81,4,5,83
4,83,4,6,77
5,73,6,6,77
4,81,4,6,88
3,59,4,2,57
4,72,3,3,66
2,43,3,0,26
7,84,6,7,89
5,83,6,5,92
4,50,3,4,43
5,81,5,4,82
6,86,5,7,99
2,44,3,1,31
3,64,3,2,54
5,88,5,7,99
9,99,9,8,100
5,76,3,3,66
3,73,5,5,68
3,48,2,2,30
3,45,2,0,31
4,57,2,3,61
2,53,2,1,45
4,58,3,2,52
4,53,3,4,56
5,79,5,6,85
5,56,5,3,46
5,99,5,5,89
5,74,4,5,78
3,68,5,4,55
4,81,5,5,89
2,56,3,2,48
9,98,8,9,100
5,82,6,4,78
4,47,2,1,37
4,40,4,2,32
5,84,4,5,86
7,92,7,6,100
5,75,4,3,64
2,46,2,0,36
6,85,5,7,98
3,44,3,3,35
5,63,3,3,64
5,67,4,6,72
4,82,4,6,86
3,56,4,2,58
4,76,4,3,79
5,59,4,4,64
4,42,2,2,35
3,76,3,3,76
4,65,5,5,61
3,54,4,1,38
4,90,5,5,95
5,87,5,7,91
4,47,2,2,33
3,52,3,2,53
6,87,7,7,97
2,42,4,3,42
3,40,4,0,22
3,48,5,4,46
5,70,5,5,79
5,80,5,6,73
7,93,6,7,100
2,65,3,4,62
3,56,4,5,48
5,95,6,6,92
3,73,3,3,70
4,48,4,3,40
6,95,7,8,100
6,90,5,7,100
3,52,3,3,39
3,44,3,2,44
4,80,5,5,71
3,52,2,2,34
2,40,3,2,41
3,64,3,4,59
4,86,5,5,85
2,43,2,-1,23
6,75,5,6,78
6,91,5,6,100
2,49,3,2,33
3,67,3,4,55
9,96,9,8,98
2,45,3,0,43
4,66,5,2,62
6,95,5,7,96
2,51,3,1,47
6,91,7,6,86
7,87,7,7,85
2,42,3,2,37
5,85,7,7,87
4,72,3,3,72
2,49,2,2,32
3,70,5,5,74
5,54,5,4,55
2,46,3,2,46
4,75,4,4,82
4,53,2,1,38
5,95,6,6,97
5,87,7,8,98
4,53,2,0,42
3,42,3,2,28
6,88,7,8,92
4,92,5,5,83
4,85,5,7,87
6,89,4,6,100
3,42,4,1,27
5,61,3,4,68
5,58,3,3,55
4,74,3,5,62
3,51,3,2,48
5,93,6,6,88
4,44,2,0,25
2,49,3,1,44
5,80,5,4,74
6,72,6,7,70
2,52,3,1,34
5,74,4,6,71
5,90,4,4,90
4,71,5,3,58
3,50,2,1,36
6,87,4,6,89
5,77,4,6,68
4,63,4,2,53
5,74,6,4,79
5,58,3,5,50
4,45,5,4,47
6,79,5,4,78
6,93,7,6,100
5,84,4,5,84
6,83,5,6,82
5,81,3,5,85
4,74,5,5,68
4,43,2,0,44
3,72,3,5,58
4,52,5,4,53
6,95,5,7,91
6,75,5,4,71
6,93,5,4,90
6,82,6,7,87
2,58,2,0,39
6,82,5,6,80
3,51,2,2,52
4,50,4,1,39
2,45,2,3,40
4,51,4,3,38
5,66,4,4,54
4,80,5,6,88
3,64,3,5,60
5,81,3,4,75
3,42,2,2,34
4,42,4,1,37
3,59,3,2,50
4,67,5,4,67
3,62,5,4,50
4,87,6,5,93
2,42,2,2,37
3,81,3,4,75
3,63,3,2,59
5,82,4,4,82
6,79,5,5,80
3,45,4,2,35
3,59,4,4,48
4,50,4,2,39
3,71,3,4,62
5,99,7,8,100
5,66,6,6,60
4,60,5,4,52
4,83,4,4,70
6,87,5,7,97
6,89,5,5,95
4,52,3,2,42
2,61,4,2,53
3,74,3,5,75
6,86,5,7,95
5,61,5,4,50
5,67,5,5,59
3,60,5,2,59
6,85,5,7,91
4,57,5,4,65
5,70,5,3,76
7,99,7,6,100
6,85,6,4,96
3,76,3,2,71
3,60,5,2,65
5,53,5,2,57
4,64,4,3,56
4,66,4,4,73
5,79,5,5,76
5,99,4,5,89
5,99,5,5,95
3,62,4,5,61
4,70,3,3,65
7,86,6,7,100
5,99,6,7,96
3,68,5,2,71
4,86,4,5,83
5,69,5,4,58
4,90,6,7,89
4,65,4,4,62
2,59,3,3,48
6,77,4,5,73
3,58,5,4,61
6,66,5,4,61
4,64,5,2,58
5,79,4,5,81
5,77,6,5,83
6,91,5,7,99
2,62,4,3,57
3,68,5,3,71
3,54,5,3,58
7,98,7,6,100
3,42,2,0,40
4,49,2,2,49
3,54,4,0,56
4,95,4,7,94
4,55,4,3,54
2,56,2,3,52
3,58,2,1,55
2,50,3,1,48
7,87,5,6,94
4,44,3,2,45
3,44,2,1,33
9,97,8,8,99
3,53,4,3,48
6,89,5,6,88
3,65,2,4,54
2,47,4,2,37
3,44,2,2,42
3,46,3,3,32
4,55,2,1,48
4,94,6,6,89
2,53,3,3,36
4,76,6,6,84
5,95,7,6,100
3,80,4,5,82
2,43,4,1,43
5,75,3,6,76
5,87,5,5,81
6,95,6,7,90
3,56,4,5,51
6,86,6,6,98
5,75,6,4,68
4,45,2,3,34
5,55,4,3,43
4,68,5,4,65
5,75,6,5,78
4,77,5,3,71
5,76,4,5,72
7,87,5,8,90
5,96,4,5,99
4,87,4,5,76
3,49,3,2,48
4,80,5,5,76
3,75,4,5,71
5,68,4,3,58
4,53,4,2,38
1,43,2,-1,33
6,83,5,4,83
7,95,6,8,91
4,81,5,5,73
3,75,5,2,76
5,89,6,7,83
5,84,7,7,95
3,52,2,1,40
5,85,4,6,87
3,57,3,4,47
4,72,5,7,83
5,60,5,5,69
5,55,4,2,60
4,54,4,4,51
4,93,4,6,87
6,96,6,5,97
3,44,2,-1,40
3,45,4,3,50
3,77,4,5,78
3,42,3,2,37
4,87,4,5,79
4,51,3,3,36
6,75,4,4,84
5,72,4,5,71
4,75,6,6,67
3,72,5,3,61
4,70,6,6,67
3,60,4,2,63
3,66,3,5,54
5,66,4,4,71
2,47,3,1,28
6,95,4,6,89
6,76,5,4,80
3,71,4,2,59
3,65,4,3,62
2,41,3,2,38
4,51,3,2,36
5,61,4,4,50
3,56,3,2,50
5,46,3,2,47
3,82,4,3,73
2,43,2,1,35
4,76,6,6,68
4,77,6,6,85
5,71,5,3,76
4,50,4,2,35
2,40,4,2,29
3,64,4,3,65
3,81,4,3,66
5,91,7,8,87
3,63,3,3,62
6,92,6,6,88
5,82,6,5,85
6,95,6,5,90
5,56,3,3,50
2,47,2,1,33
5,98,6,7,99
4,84,5,5,75
6,66,4,6,67
5,91,5,5,83
3,57,4,4,59
5,66,4,3,69
3,61,4,3,58
4,55,4,4,42
2,41,4,3,26
4,44,2,0,45
5,57,4,5,60
3,42,3,1,39
3,66,5,5,67
5,93,7,7,86
3,56,3,2,43
5,55,5,2,50
3,45,3,3,48
7,90,7,8,100
4,46,4,1,43
5,89,6,8,94
3,53,3,2,44
5,77,5,6,71
5,79,4,4,86
3,54,2,2,46
6,86,6,4,84
6,86,6,5,92
4,87,5,5,80
4,72,3,3,63
4,82,6,6,74
5,66,3,3,70
5,68,4,4,71
5,96,4,6,100
3,76,5,3,74
3,44,3,3,43
6,68,5,4,77
3,71,5,2,72
7,99,8,7,98
7,92,7,8,100
3,45,3,2,47
4,41,3,3,40
3,45,3,-1,30
5,85,7,8,97
5,82,3,5,86
4,43,4,1,35
5,95,5,8,100
3,68,3,5,67
4,98,6,5,100
3,64,4,4,52
3,48,2,2,36
6,95,5,6,88
4,42,2,1,41
4,65,2,3,56
4,87,4,4,83
4,82,5,4,89
3,66,3,3,58
3,75,5,3,72
5,71,4,3,69
2,40,2,1,39
6,96,6,7,100
4,92,5,5,91
6,93,6,7,100
4,55,5,4,52
7,90,6,6,94
5,87,6,5,93
3,50,4,3,45
4,65,4,2,58
5,79,4,6,84
6,94,4,6,96
4,40,4,1,33
5,65,6,6,62
5,67,3,2,58
5,92,5,7,100
7,97,8,7,95
3,48,3,1,30
9,99,8,7,100
6,98,5,6,97
3,83,3,3,69
4,61,4,4,56
2,47,4,0,30
6,97,5,7,100
5,88,7,8,86
4,81,4,7,84
3,66,4,4,63
3,78,5,5,71
4,58,5,4,50
5,64,5,2,66
5,77,5,6,83
4,60,5,2,56
5,63,4,5,66
4,63,5,4,53
7,99,6,6,100
4,99,5,5,100
4,58,3,3,46
5,89,6,5,99
4,86,4,7,79
1,41,2,0,32
4,53,2,1,40
8,92,7,9,91
6,71,4,5,74
5,81,5,3,78
5,71,6,4,69
4,67,4,4,70
6,87,6,6,86
5,78,5,7,73
5,79,4,4,70
6,81,6,6,90
5,86,3,4,88
6,79,4,6,83
2,52,2,2,46
5,51,5,3,58
3,47,1,-1,32
2,54,3,1,43
3,65,4,4,71
3,51,3,1,34
6,82,6,5,92
7,90,6,6,93
6,85,5,6,97
4,66,3,3,55
4,57,3,3,57
6,84,4,4,82
6,75,4,4,64
4,88,5,5,87
4,90,6,6,91
3,66,3,4,53
4,48,4,2,44
5,94,7,6,100
5,78,3,6,77
1,40,2,0,21
4,46,4,1,46
5,65,3,3,68
4,46,4,2,37
4,91,6,6,99
4,46,5,3,52
3,47,3,1,46
5,55,4,2,55
2,42,2,3,25
5,84,5,5,84
2,49,3,2,43
5,89,4,7,96
4,46,4,0,34
4,60,3,2,52
5,92,5,5,84
5,76,4,4,83
3,70,3,6,77
5,62,5,2,60
7,96,6,8,100
5,66,4,4,72
7,95,6,6,97
5,61,3,4,66
5,78,6,6,70
5,96,5,5,100
5,66,3,3,55
6,93,4,6,90
5,88,6,6,84
4,43,2,0,43
3,63,5,3,69
5,62,5,4,57
6,87,5,5,88
4,58,5,4,56
5,81,6,6,82
3,42,4,2,28
4,66,3,4,58
3,42,3,1,36
3,67,3,6,73
2,56,2,0,49
4,70,6,4,71
3,49,2,2,36
7,88,5,8,93
5,61,3,3,61
4,69,5,3,62
6,88,4,5,80
5,60,4,3,56
6,75,5,6,83
5,92,7,7,100
2,62,3,3,51
6,77,4,5,71
3,51,4,1,47
5,64,3,2,68
7,93,7,6,97
8,96,8,9,100
3,59,5,4,46
5,88,7,6,83
5,88,4,5,93
4,81,6,4,71
4,46,2,1,36
3,68,5,4,63
6,87,4,7,87
6,68,6,5,65
3,52,4,2,40
3,42,3,2,37
2,41,2,2,23
4,55,3,4,51
4,69,5,2,61
5,77,5,5,79
4,45,4,0,48
5,84,6,6,95
3,46,2,0,41
4,44,3,3,30
4,95,4,5,91
5,46,3,2,47
5,73,5,6,81
4,71,5,4,64
6,88,5,4,83
2,52,4,3,41
6,69,5,4,65
4,64,4,3,59
4,60,3,2,56
8,99,8,7,98
5,98,4,6,100
4,60,2,1,49
3,67,2,1,68
5,87,4,4,82
7,97,7,8,99
4,59,3,3,62
5,73,5,5,69
2,44,4,3,48
4,57,3,2,45
5,99,6,7,99
6,78,4,4,82
5,82,5,5,91
5,96,4,7,97
5,96,6,7,96
3,50,3,3,41
4,93,6,5,85
4,56,4,4,54
3,87,4,3,72
6,84,4,6,91
4,61,3,3,57
4,76,4,5,72
3,59,4,5,58
4,87,5,5,90
7,99,6,8,95
7,93,7,8,100
5,93,6,6,100
4,87,6,5,77
5,87,6,5,88
4,85,4,7,89
2,45,2,0,38
6,73,6,5,67
3,53,3,1,40
6,87,6,5,90
5,62,3,4,65
4,59,3,2,62
3,52,4,4,46
6,86,6,4,89
3,83,3,5,88
4,80,3,5,84
4,71,3,4,73
5,65,3,4,56
6,89,4,6,92
4,92,4,6,98
2,53,4,1,52
6,91,4,5,87
7,96,5,8,100
5,75,4,3,70
4,47,4,1,46
5,79,3,5,70
5,61,3,4,51
3,61,4,3,54
5,55,4,3,46
5,66,5,3,68
6,95,4,5,94
4,99,4,7,94
6,99,4,5,91
2,49,3,3,41
5,64,3,5,53
4,70,4,3,65
3,60,5,4,59
3,66,3,6,65
4,56,3,1,55
5,72,4,4,68
4,70,6,6,74
6,89,6,7,96
5,81,4,5,80
3,65,5,5,61
5,60,4,5,65
6,75,6,6,86
4,40,2,1,42
3,43,2,3,33
4,43,3,1,42
3,65,3,3,62
2,43,3,0,23
5,88,5,6,80
3,48,1,1,33
5,69,3,5,71
7,90,5,8,99
4,84,4,5,72
2,43,2,2,43
2,44,2,2,34
4,84,6,5,93
5,62,3,3,63
3,55,2,4,54
5,61,5,3,62
3,76,5,3,64
4,47,3,3,45
6,87,4,7,90
3,72,5,4,75
6,94,6,7,89
6,99,7,6,100
5,77,4,3,72
5,82,5,4,75
3,55,3,2,57
2,44,1,0,33
3,55,3,2,44
1,46,3,2,46
5,90,6,7,98
2,40,3,0,33
4,48,2,1,35
4,57,2,2,44
5,84,5,5,82
7,97,7,9,100
6,86,6,5,85
3,42,3,3,27
5,63,3,4,51
4,67,4,4,68
5,49,5,3,49
4,48,4,2,45
2,52,4,3,43
5,87,6,4,94
4,74,5,5,67
4,93,6,7,85
3,62,4,4,62
3,86,4,3,87
4,56,3,4,56
5,85,5,6,85
1,46,3,-1,41
4,91,6,7,100
2,55,2,3,51
6,92,5,4,90
6,79,6,6,80
4,75,6,7,67
2,59,3,1,43
5,63,6,5,71
6,86,4,5,95
2,44,2,3,37
6,84,6,5,81
3,45,2,1,29
5,67,4,4,73
5,98,6,6,92
2,44,3,1,31
6,88,6,6,96
4,78,4,6,84
3,77,3,3,74
4,41,2,2,25
4,82,5,5,74
4,78,4,7,86
6,93,6,6,89
4,60,3,2,47
5,79,5,5,76
4,76,4,6,78
8,98,8,9,100
3,57,4,2,49
7,93,5,7,95
6,87,6,7,94
5,85,5,5,90
3,51,2,2,44
5,56,5,5,51
4,76,4,5,70
5,85,4,7,95
3,77,3,3,64
5,54,4,3,48
4,46,2,2,36
3,53,3,3,43
5,89,6,6,100
2,40,2,0,29
4,77,3,4,74
2,42,2,2,25
3,76,5,3,63
5,83,4,4,78
5,70,4,5,71
5,82,6,6,89
3,52,4,2,38
6,87,5,6,99
3,57,4,3,46
4,56,5,3,43
4,56,4,3,57
5,50,3,3,39
5,59,5,3,47
2,49,4,2,41
5,68,4,4,66
4,87,4,6,83
6,73,6,5,73
3,56,5,2,47
6,93,5,5,88
6,91,5,6,100
4,81,4,5,87
5,52,3,4,53
5,83,5,4,73
5,86,5,7,84
4,78,5,5,85
4,66,3,3,69
5,93,6,6,98
6,92,4,5,94
2,65,4,4,51
3,67,3,3,55
4,52,5,2,49
4,51,4,0,44
4,83,5,6,83
6,67,5,4,73
3,41,4,1,31
4,76,5,6,85
6,96,5,7,100
6,96,4,7,100
5,73,5,6,70
4,62,4,3,61
9,97,8,9,98
7,91,7,8,93
6,84,4,5,76
5,68,3,4,65
4,74,5,3,61
4,50,3,3,39
4,87,4,6,87
4,72,3,5,71
4,90,5,7,84
2,50,4,3,48
2,48,2,3,46
3,53,4,2,52
3,48,2,1,46
6,78,5,7,87
7,87,7,7,98
2,42,2,0,35
6,68,6,4,66
3,58,4,3,43
6,75,5,5,86
4,71,5,6,80
1,46,3,-1,40
5,94,6,7,98
5,67,5,4,59
6,83,4,6,92
4,57,4,2,51
8,99,9,8,100
3,44,3,2,47
4,62,4,4,63
7,94,8,7,100
4,61,5,5,54
3,65,3,5,57
4,81,4,3,70
5,51,3,2,44
6,79,4,4,76
5,58,4,4,48
5,86,6,6,87
4,40,2,0,21
4,42,2,1,29
5,66,6,6,73
2,57,2,2,46
7,89,5,6,88
3,69,5,2,72
3,41,4,1,41
2,44,3,1,36
5,68,4,3,73
5,72,6,6,66
6,81,4,5,91
3,59,3,3,58
5,69,6,6,69
4,81,4,3,75
4,44,3,3,34
6,89,6,7,92
4,60,4,3,51
6,97,4,5,100
2,54,4,3,38
5,59,4,3,47
2,47,4,2,41
7,88,5,7,88
3,70,4,6,65
4,51,5,2,50
4,60,2,2,59
3,69,3,5,61
5,66,4,3,72
6,83,6,6,87
5,65,3,4,55
4,72,4,3,59
5,65,3,3,53
3,65,5,5,70
3,75,3,4,60
5,79,5,5,81
3,40,3,2,42
6,98,5,6,100
3,54,4,1,53
5,89,6,6,97
3,40,4,0,40
3,50,2,1,32
6,94,6,6,100
4,41,4,4,29
2,40,4,1,31
5,70,5,4,64
5,83,7,8,80
3,55,4,2,52
4,93,5,7,99
3,61,3,5,48
5,81,5,4,80
2,57,4,3,57
6,86,6,6,79
4,56,4,4,61
5,69,3,3,69
2,49,3,3,51
5,74,5,4,64
5,97,6,7,92
4,60,5,5,50
4,55,3,3,45
2,45,3,0,39
2,42,3,3,30
5,80,3,3,72
5,82,6,5,77
4,60,4,4,52
4,52,3,1,43
5,57,5,3,59
6,97,6,7,91
6,93,7,6,99
7,99,5,6,98
3,63,5,4,70
5,66,5,4,70
4,93,4,5,91
4,43,3,3,43
3,61,5,3,51
5,63,4,4,67
5,79,5,5,85
6,84,5,5,77
2,49,4,3,51
4,41,3,3,33
6,79,5,5,72
3,45,2,2,41
6,87,5,5,78
3,57,3,3,50
4,56,4,5,56
5,77,4,3,71
6,84,5,4,88
5,62,3,3,56
4,85,6,6,96
5,69,5,4,78
6,97,7,8,93
3,60,5,4,51
3,49,4,2,46
6,95,4,4,97
6,82,6,6,78
2,52,2,2,36
3,51,2,2,34
4,48,4,1,47
3,43,3,1,34
3,78,5,5,71
4,63,4,4,53
5,93,6,6,90
5,73,5,6,66
3,78,3,3,77
3,80,5,3,69
3,44,3,2,46
3,54,3,4,47
5,89,6,7,96
4,43,3,4,37
5,90,5,7,82
5,91,5,7,85
4,97,4,6,100
6,78,5,6,79
9,97,8,9,100
3,47,3,2,48
6,88,6,7,99
6,84,6,5,82
3,63,5,3,61
6,92,4,7,96
3,67,4,4,70
7,94,7,9,97
4,82,4,6,90
3,66,3,5,68
1,40,2,0,28
5,73,6,6,83
2,56,4,3,41
4,76,4,4,79
6,77,6,5,80
5,65,4,4,57
5,96,5,6,100
5,63,3,4,55
5,78,4,5,71
6,99,4,6,100
2,60,3,2,52
5,69,4,6,75
6,86,5,5,80
5,90,6,5,94
7,87,6,8,84
9,96,7,8,100
4,52,3,2,50
5,76,4,6,81
2,42,3,-1,34
3,71,4,3,64
4,74,5,4,76
4,58,4,2,57
3,53,4,3,39
5,87,4,3,82
5,61,4,5,68
3,56,3,3,50
4,98,4,8,100
2,43,3,0,39
5,84,4,7,81
5,79,4,5,74
2,58,4,3,48
6,76,5,6,80
4,41,4,1,26
3,54,4,2,55
2,41,2,2,25
4,50,3,3,47
6,84,6,4,89
4,62,3,4,53
4,49,2,0,45
4,42,4,2,30
3,44,3,0,38
3,42,1,1,27
6,77,6,7,72
2,52,4,1,39
4,81,6,5,78
2,58,2,3,43
5,79,5,7,90
4,89,6,4,81
5,74,5,5,71
3,63,4,3,51
5,63,4,4,54
3,56,5,4,58
3,79,4,4,76
2,49,3,3,33
4,41,3,1,35
5,83,4,6,78
3,62,3,2,58
4,45,2,2,28
2,41,2,0,24
4,60,5,3,67
4,94,4,7,97
5,95,5,8,100
4,74,5,3,80
5,88,6,6,82
3,68,3,4,56
2,46,2,0,39
5,68,5,5,58
6,92,5,5,83
3,76,4,4,70
3,62,3,4,61
3,72,3,5,68
3,47,2,3,47
3,51,3,2,46
5,85,5,4,92
4,87,4,5,77
4,49,2,2,39
5,54,5,4,56
6,92,6,6,90
5,63,4,3,54
5,65,5,4,57
3,86,4,4,85
6,81,5,4,77
7,92,7,7,100
9,99,7,8,100
5,78,6,6,83
7,97,6,6,100
3,42,1,-1,33
2,41,3,2,28
3,45,4,2,47
2,60,2,2,47
2,48,3,0,45
3,49,5,3,45
6,75,4,4,72
5,98,7,8,100
2,42,2,1,31
6,80,4,5,79
4,63,5,4,55
5,61,4,5,57
5,88,4,7,89
3,53,2,3,54
4,81,3,4,84
5,84,6,6,94
6,83,4,6,82
5,66,5,4,61
